key,code,title,description,creationTime,startTime,endTime,budged,link,key:invention
chimpum-01,2022-04-29,A,aP9gfKx4nNtnRKT5NHR8u6A7ZnJqZJjtaFQDvtMHaHYy7xCFj8Xyt9b5HGYFDtyxtWE3Fv4cp4H9TR7aqp75R8AbiP4BV7TYr2BbL6npGQw64q4JxCPj5dh5xBCLQBYfyRvDbMpjHCvmQ88fdjzkLtRMUfR39Ff34S9npgYd92hiytqxwgHubHcTq6YnqVPPJcKU7LQMEUYNTMPuNRbDUhDatrX5qcjhtwfiCjDVZcGhqMUx7iTRLd7kU47DtXn,2022/04/29 01:01,2022/05/29 01:01,2022/06/29 01:01,EUR 10.90,https://github.com/jaortiz1?tab=repositories,invention-01
chimpum-02,2022-04-28,B,B,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 11.90,https://github.com/jaortiz1?tab=repositories,invention-02
chimpum-03,2022-04-27,C,C,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 09.90,https://github.com/jaortiz1?tab=repositories,invention-03
chimpum-04,2022-04-26,D,D,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 08.90,https://github.com/jaortiz1?tab=repositories,invention-04
chimpum-05,2022-04-25,E,E,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 05.90,https://github.com/jaortiz1?tab=repositories,invention-05
chimpum-06,2022-04-24,F,F,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-06
chimpum-07,2022-04-23,G,G,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 04.90,https://github.com/jaortiz1?tab=repositories,invention-07
chimpum-08,2022-04-22,H,H,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 01.90,https://github.com/jaortiz1?tab=repositories,invention-08
chimpum-09,2022-04-21,I,I,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 02.90,https://github.com/jaortiz1?tab=repositories,invention-09
chimpum-10,2022-04-20,J,J,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-10
chimpum-11,2022-04-19,K,K,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 04.90,https://github.com/jaortiz1?tab=repositories,invention-11
chimpum-12,2022-04-18,L,L,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 05.90,https://github.com/jaortiz1?tab=repositories,invention-12
chimpum-13,2022-04-17,M,M,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 06.90,https://github.com/jaortiz1?tab=repositories,invention-13
chimpum-14,2022-04-16,N,N,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 07.90,https://github.com/jaortiz1?tab=repositories,invention-14
chimpum-15,2022-04-15,O,O,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-15
chimpum-16,2022-04-14,P,P,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-16
chimpum-17,2022-04-13,Q,Q,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 10.90,https://github.com/jaortiz1?tab=repositories,invention-17
chimpum-18,2022-04-12,R,R,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 20.90,https://github.com/jaortiz1?tab=repositories,invention-18
chimpum-19,2022-04-11,S,S,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-19
chimpum-20,2022-04-10,1,1,2022/04/28 01:01,2022/05/28 01:01,2022/06/28 01:01,EUR 03.90,https://github.com/jaortiz1?tab=repositories,invention-20